STUDENT_ID,CLASSIFICATION,PRIMARY_COLLEGE,SECONDARY_COLLEGE,HC_OR_COE,USAGE_OVER_LAST_90_DAYS
930304726,Freshman,College of Engineering,N/A,COE,0
930665431,Graduate,College of Liberal Arts,N/A,HC,6
931225795,Senior,College of Liberal Arts,College of Public Health and Human Sciences,HC,0
931269403,Senior,College of Engineering,N/A,COE,0
931287721,Senior,College of Science,N/A,HC,0
931340672,Junior,College of Engineering,N/A,Both,0
931451177,Sophomore,College of Engineering,N/A,COE,6
931584172,Junior,College of Engineering,N/A,COE,1
931587994,Graduate,College of Engineering,N/A,COE,1
931656411,Graduate,College of Engineering,N/A,COE,11
931716625,Graduate,College of Engineering,N/A,COE,3
931772915,Junior,College of Engineering,N/A,COE,0
931780002,Junior,College of Science,N/A,HC,4
931783554,Graduate,College of Engineering,N/A,COE,0
931858075,Sophomore,College of Engineering,N/A,COE,2
931886265,Senior,College of Engineering,N/A,COE,1
931903751,Graduate,College of Liberal Arts,N/A,HC,0
931988591,Graduate,College of Engineering,N/A,COE,1
932053010,Senior,College of Engineering,N/A,COE,8
932130188,Senior,College of Engineering,N/A,COE,3
932162965,Junior,College of Engineering,N/A,COE,7
932183095,Senior,College of Engineering,N/A,COE,1
932257524,Senior,College of Engineering,N/A,COE,0
932268182,Senior,College of Engineering,N/A,COE,4
932292863,Graduate,College of Engineering,N/A,COE,1
932327835,Graduate,College of Engineering,N/A,COE,0
932352262,Graduate,College of Engineering,N/A,COE,0
932362546,Sophomore,College of Engineering,N/A,COE,0
932375512,Sophomore,College of Engineering,N/A,COE,4
932401406,Senior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
932462160,Senior,College of Engineering,N/A,COE,11
932463242,Junior,College of Liberal Arts,N/A,HC,0
932481903,Senior,College of Engineering,N/A,COE,0
932487688,Graduate,College of Engineering,N/A,COE,4
932503858,Senior,College of Science,College of Agricultural Sciences,HC,0
932566764,Graduate,College of Engineering,N/A,COE,0
932570434,Graduate,College of Engineering,N/A,COE,0
932659511,Graduate,College of Engineering,N/A,COE,1
932660573,Graduate,College of Engineering,N/A,COE,4
932663502,Junior,College of Engineering,N/A,COE,1
932714116,Graduate,College of Engineering,N/A,COE,1
932724509,Sophomore,College of Engineering,N/A,COE,8
932724787,Junior,College of Liberal Arts,N/A,HC,0
932728551,Graduate,College of Engineering,N/A,COE,3
932730891,Graduate,College of Engineering,N/A,COE,0
932737763,Junior,College of Engineering,N/A,COE,9
932764469,Senior,College of Engineering,College of Agricultural Sciences,COE,11
932810411,Senior,College of Engineering,N/A,COE,4
932842579,Graduate,College of Engineering,N/A,COE,1
932877773,Senior,College of Liberal Arts,N/A,HC,0
932934119,Junior,College of Engineering,N/A,COE,11
932942355,Senior,College of Engineering,N/A,COE,0
932948734,Senior,College of Engineering,N/A,COE,1
932948742,Senior,College of Engineering,N/A,COE,0
932953197,Junior,College of Engineering,N/A,COE,0
932979231,Senior,College of Engineering,N/A,COE,18
932987255,Graduate,College of Engineering,N/A,COE,5
932989402,Senior,College of Engineering,College of Liberal Arts,COE,0
932994602,Junior,College of Engineering,N/A,COE,3
933029570,Senior,College of Engineering,N/A,COE,1
933032815,Sophomore,College of Engineering,N/A,COE,0
933044364,Junior,College of Engineering,N/A,COE,2
933059225,Sophomore,College of Engineering,N/A,COE,0
933077156,Graduate,College of Engineering,N/A,COE,0
933136302,Junior,College of Engineering,N/A,COE,1
933136572,Senior,College of Liberal Arts,N/A,HC,1
933139174,Junior,College of Liberal Arts,N/A,HC,0
933159362,Graduate,College of Engineering,N/A,COE,0
933185882,Sophomore,College of Engineering,N/A,COE,2
933186734,Graduate,College of Engineering,N/A,COE,0
933187471,Sophomore,College of Engineering,N/A,COE,7
933187729,Graduate,College of Engineering,N/A,COE,0
933188049,Junior,College of Engineering,N/A,COE,0
933188139,Junior,College of Engineering,N/A,COE,0
933191066,Graduate,College of Engineering,N/A,COE,1
933221675,Senior,College of Engineering,N/A,COE,0
933229571,Graduate,College of Engineering,N/A,COE,7
933243561,Junior,College of Engineering,N/A,COE,4
933247244,Senior,College of Engineering,N/A,COE,0
933249590,Graduate,College of Engineering,N/A,COE,1
933265046,Senior,College of Engineering,N/A,COE,0
933276133,Graduate,College of Engineering,N/A,COE,1
933285344,Graduate,College of Engineering,N/A,COE,0
933285445,Junior,College of Engineering,N/A,COE,2
933290299,Senior,College of Engineering,N/A,COE,0
933291946,Junior,College of Engineering,N/A,COE,2
933299625,Graduate,College of Engineering,N/A,COE,0
933300948,Senior,College of Engineering,N/A,COE,0
933307361,Junior,College of Engineering,N/A,COE,4
933309103,Senior,College of Engineering,N/A,COE,0
933314795,Freshman,College of Engineering,N/A,COE,3
933326540,Senior,College of Engineering,N/A,COE,2
933330927,Graduate,College of Engineering,N/A,COE,9
933331512,Senior,College of Engineering,N/A,COE,0
933332419,Freshman,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,1
933337644,Graduate,College of Engineering,N/A,COE,3
933390629,Graduate,College of Engineering,N/A,COE,1
933392588,Junior,College of Engineering,N/A,COE,22
933414429,Graduate,College of Engineering,N/A,COE,3
933504141,Senior,College of Engineering,N/A,COE,3
933508219,Graduate,College of Engineering,N/A,COE,0
933510089,Junior,College of Engineering,N/A,COE,0
933514562,Graduate,College of Engineering,N/A,COE,1
933514935,Junior,College of Engineering,N/A,COE,3
933519757,Sophomore,College of Engineering,N/A,COE,0
933533512,Senior,College of Engineering,N/A,COE,0
933539455,Graduate,College of Engineering,N/A,COE,0
933542740,Sophomore,College of Engineering,N/A,COE,1
933543590,Sophomore,College of Engineering,N/A,COE,12
933545184,Senior,College of Engineering,N/A,Both,2
933551017,Senior,College of Engineering,College of Liberal Arts,COE,0
933567923,Graduate,College of Engineering,N/A,COE,0
933580153,Junior,College of Engineering,N/A,COE,5
933591452,Junior,College of Engineering,N/A,COE,2
933598377,Sophomore,College of Engineering,N/A,COE,1
933600657,Senior,College of Engineering,N/A,COE,1
933603224,Sophomore,College of Engineering,N/A,COE,2
933604295,Graduate,College of Engineering,N/A,COE,0
933605067,Junior,College of Engineering,N/A,COE,2
933606175,Senior,College of Engineering,N/A,COE,0
933606760,Graduate,College of Engineering,N/A,COE,3
933609187,Graduate,College of Engineering,N/A,COE,0
933613430,Senior,College of Engineering,N/A,COE,0
933637140,Senior,College of Business,N/A,HC,0
933640317,Junior,College of Engineering,N/A,COE,11
933651483,Graduate,College of Engineering,N/A,COE,2
933654387,Junior,College of Engineering,N/A,COE,4
933659873,Junior,College of Engineering,N/A,COE,0
933660418,Junior,College of Engineering,N/A,COE,0
933669042,Graduate,College of Engineering,N/A,COE,0
933669056,Junior,College of Engineering,N/A,COE,5
933670520,Freshman,College of Engineering,N/A,COE,9
933680391,Graduate,College of Engineering,N/A,COE,1
933692586,Graduate,College of Engineering,N/A,COE,0
933765025,Freshman,College of Engineering,N/A,COE,5
933820251,Junior,College of Engineering,N/A,Both,6
933821142,Senior,College of Engineering,N/A,COE,1
933821579,Graduate,College of Engineering,N/A,COE,0
933822260,Senior,College of Engineering,N/A,COE,14
933822675,Junior,College of Engineering,N/A,COE,6
933823000,Senior,College of Engineering,N/A,COE,4
933823094,Senior,College of Engineering,N/A,COE,0
933824978,Senior,College of Engineering,N/A,COE,0
933825402,Graduate,College of Engineering,N/A,COE,1
933825439,Graduate,College of Engineering,N/A,COE,5
933826818,Senior,College of Engineering,N/A,COE,1
933827451,Senior,College of Engineering,N/A,COE,2
933827779,Senior,College of Engineering,N/A,COE,6
933828873,Senior,College of Public Health and Human Sciences,College of Liberal Arts,HC,0
933829247,Senior,College of Engineering,N/A,COE,0
933829284,Sophomore,College of Engineering,N/A,COE,0
933829399,Senior,College of Engineering,N/A,COE,9
933830090,Sophomore,College of Engineering,N/A,COE,8
933831243,Junior,College of Engineering,N/A,COE,4
933831513,Junior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
933831826,Junior,College of Engineering,N/A,COE,11
933847637,Junior,College of Engineering,N/A,COE,9
933851853,Junior,College of Engineering,N/A,COE,2
933862537,Graduate,College of Engineering,N/A,COE,2
933887148,Junior,College of Engineering,N/A,COE,0
933896370,Freshman,College of Engineering,N/A,COE,21
933914210,Graduate,College of Engineering,N/A,COE,1
933914456,Senior,College of Engineering,N/A,COE,1
933924343,Sophomore,College of Engineering,N/A,COE,0
933926084,Sophomore,College of Engineering,N/A,COE,2
933927533,Senior,College of Business,N/A,HC,0
933927629,Junior,College of Engineering,N/A,COE,19
933927660,Sophomore,College of Science,N/A,HC,2
933928153,Graduate,College of Engineering,N/A,COE,1
933930617,Senior,College of Agricultural Sciences,N/A,HC,0
933935711,Senior,College of Health,College of Liberal Arts,HC,0
933940774,Junior,College of Science,N/A,HC,0
933940849,Junior,College of Engineering,N/A,COE,1
933940884,Senior,College of Engineering,N/A,COE,0
933942737,Senior,College of Engineering,N/A,COE,0
933945520,Junior,College of Engineering,College of Science,COE,1
933945748,Junior,College of Engineering,N/A,COE,3
933945758,Junior,College of Engineering,N/A,COE,2
933952058,Senior,College of Engineering,N/A,COE,1
933953302,Junior,College of Liberal Arts,N/A,HC,0
933954013,Junior,College of Science,N/A,HC,0
933954023,Senior,College of Engineering,N/A,COE,1
933955273,Junior,College of Engineering,N/A,COE,4
933957908,Senior,College of Engineering,N/A,Both,0
933958871,Sophomore,College of Engineering,College of Business,COE,0
933959264,Sophomore,College of Engineering,N/A,COE,0
933959421,Junior,College of Engineering,N/A,COE,2
933960203,Senior,College of Engineering,N/A,COE,0
933963333,Senior,College of Engineering,College of Business,COE,3
933965406,Graduate,College of Engineering,N/A,COE,0
933966946,Senior,College of Engineering,N/A,COE,1
933967225,Junior,College of Engineering,N/A,COE,0
933967738,Senior,College of Engineering,N/A,COE,0
933967763,Junior,College of Engineering,N/A,COE,5
933968358,Senior,College of Science,N/A,HC,0
933968465,Senior,College of Engineering,N/A,COE,0
933968527,Junior,College of Engineering,N/A,COE,9
933978037,Senior,College of Engineering,N/A,COE,0
933987547,Graduate,College of Engineering,N/A,COE,1
933991090,Senior,College of Engineering,N/A,COE,6
934020676,Senior,College of Engineering,N/A,COE,1
934039016,Junior,College of Engineering,N/A,COE,33
934043921,Junior,College of Engineering,N/A,COE,1
934048903,Sophomore,College of Engineering,N/A,COE,1
934050418,Graduate,College of Engineering,N/A,COE,2
934050766,Senior,College of Business,N/A,HC,0
934051396,Senior,College of Engineering,N/A,COE,3
934051520,Freshman,College of Engineering,N/A,COE,6
934051685,Junior,College of Engineering,N/A,COE,0
934052858,Graduate,College of Engineering,N/A,COE,0
934054857,Sophomore,College of Engineering,N/A,COE,7
934054923,Senior,College of Engineering,N/A,COE,3
934056380,Junior,College of Engineering,N/A,COE,4
934056933,Freshman,College of Health,N/A,HC,4
934060376,Sophomore,College of Engineering,N/A,COE,0
934064244,Junior,College of Science,College of Liberal Arts,HC,0
934065181,Sophomore,College of Engineering,N/A,COE,1
